table,direction,product_code_id,product_code,location_role,location,currency,counterparty_agent_id,counterparty_carrier_id,lane_origin,lane_destination,rate_per_kg,rate_per_shipment,min_charge,max_charge,percent_rate,is_additive,weight_breaks,valid_from,valid_until,duplicate_routes,conflict
ExportSellRate,EXPORT,1020,EXP-CLEAR,origin,POM,AUD,,,POM,CNS,,105.00,,,,False,,2025-01-02,2025-12-31,3,True
ExportSellRate,EXPORT,1020,EXP-CLEAR,origin,POM,AUD,,,POM,CNS,,130.00,,,,False,,2026-01-02,2026-12-31,3,True
ExportSellRate,EXPORT,1020,EXP-CLEAR,origin,POM,AUD,,,POM,SYD,,105.00,,,,False,,2025-01-02,2025-12-31,3,True
ExportSellRate,EXPORT,1020,EXP-CLEAR,origin,POM,AUD,,,POM,SYD,,130.00,,,,False,,2026-01-02,2026-12-31,3,True
ExportSellRate,EXPORT,1020,EXP-CLEAR,origin,POM,PGK,,,POM,BNE,,300.00,,,,False,,2025-01-01,2025-12-31,9,False
ExportSellRate,EXPORT,1020,EXP-CLEAR,origin,POM,PGK,,,POM,CNS,,300.00,,,,False,,2025-01-01,2026-12-31,9,False
ExportSellRate,EXPORT,1020,EXP-CLEAR,origin,POM,PGK,,,POM,HIR,,300.00,,,,False,,2025-01-01,2026-12-31,9,False
ExportSellRate,EXPORT,1020,EXP-CLEAR,origin,POM,PGK,,,POM,HKG,,300.00,,,,False,,2025-01-01,2026-12-31,9,False
ExportSellRate,EXPORT,1020,EXP-CLEAR,origin,POM,PGK,,,POM,MNL,,300.00,,,,False,,2025-01-01,2026-12-31,9,False
ExportSellRate,EXPORT,1020,EXP-CLEAR,origin,POM,PGK,,,POM,NAN,,300.00,,,,False,,2025-01-01,2026-12-31,9,False
ExportSellRate,EXPORT,1020,EXP-CLEAR,origin,POM,PGK,,,POM,SIN,,300.00,,,,False,,2025-01-01,2026-12-31,9,False
ExportSellRate,EXPORT,1020,EXP-CLEAR,origin,POM,PGK,,,POM,SYD,,300.00,,,,False,,2025-01-01,2025-12-31,9,False
ExportSellRate,EXPORT,1020,EXP-CLEAR,origin,POM,PGK,,,POM,VLI,,300.00,,,,False,,2025-01-01,2026-12-31,9,False
ExportSellRate,EXPORT,1020,EXP-CLEAR,origin,POM,USD,,,POM,HIR,,105.00,,,,False,,2025-01-02,2025-12-31,6,False
ExportSellRate,EXPORT,1020,EXP-CLEAR,origin,POM,USD,,,POM,HIR,,105.00,,,,False,,2026-01-02,2026-12-31,6,False
ExportSellRate,EXPORT,1020,EXP-CLEAR,origin,POM,USD,,,POM,HKG,,105.00,,,,False,,2025-01-02,2025-12-31,6,False
ExportSellRate,EXPORT,1020,EXP-CLEAR,origin,POM,USD,,,POM,HKG,,105.00,,,,False,,2026-01-02,2026-12-31,6,False
ExportSellRate,EXPORT,1020,EXP-CLEAR,origin,POM,USD,,,POM,MNL,,105.00,,,,False,,2025-01-02,2025-12-31,6,False
ExportSellRate,EXPORT,1020,EXP-CLEAR,origin,POM,USD,,,POM,MNL,,105.00,,,,False,,2026-01-02,2026-12-31,6,False
ExportSellRate,EXPORT,1020,EXP-CLEAR,origin,POM,USD,,,POM,NAN,,105.00,,,,False,,2025-01-02,2025-12-31,6,False
ExportSellRate,EXPORT,1020,EXP-CLEAR,origin,POM,USD,,,POM,NAN,,105.00,,,,False,,2026-01-02,2026-12-31,6,False
ExportSellRate,EXPORT,1020,EXP-CLEAR,origin,POM,USD,,,POM,SIN,,105.00,,,,False,,2025-01-02,2025-12-31,6,False
ExportSellRate,EXPORT,1020,EXP-CLEAR,origin,POM,USD,,,POM,SIN,,105.00,,,,False,,2026-01-02,2026-12-31,6,False
ExportSellRate,EXPORT,1020,EXP-CLEAR,origin,POM,USD,,,POM,VLI,,105.00,,,,False,,2025-01-02,2025-12-31,6,False
ExportSellRate,EXPORT,1020,EXP-CLEAR,origin,POM,USD,,,POM,VLI,,105.00,,,,False,,2026-01-02,2026-12-31,6,False
ExportSellRate,EXPORT,1030,EXP-TERM,origin,POM,AUD,,,POM,BNE,,15.00,,,,False,,2025-01-02,2025-12-31,3,True
ExportSellRate,EXPORT,1030,EXP-TERM,origin,POM,AUD,,,POM,BNE,,19.00,,,,False,,2026-01-02,2026-12-31,3,True
ExportSellRate,EXPORT,1030,EXP-TERM,origin,POM,AUD,,,POM,CNS,,15.00,,,,False,,2025-01-02,2025-12-31,3,True
ExportSellRate,EXPORT,1030,EXP-TERM,origin,POM,AUD,,,POM,CNS,,19.00,,,,False,,2026-01-02,2026-12-31,3,True
ExportSellRate,EXPORT,1030,EXP-TERM,origin,POM,AUD,,,POM,SYD,,15.00,,,,False,,2025-01-02,2025-12-31,3,True
ExportSellRate,EXPORT,1030,EXP-TERM,origin,POM,AUD,,,POM,SYD,,19.00,,,,False,,2026-01-02,2026-12-31,3,True
ExportSellRate,EXPORT,1030,EXP-TERM,origin,POM,PGK,,,POM,BNE,,50.00,,,,False,,2025-01-01,2025-12-31,9,False
ExportSellRate,EXPORT,1030,EXP-TERM,origin,POM,PGK,,,POM,CNS,,50.00,,,,False,,2025-01-01,2026-12-31,9,False
ExportSellRate,EXPORT,1030,EXP-TERM,origin,POM,PGK,,,POM,HIR,,50.00,,,,False,,2025-01-01,2026-12-31,9,False
ExportSellRate,EXPORT,1030,EXP-TERM,origin,POM,PGK,,,POM,HKG,,50.00,,,,False,,2025-01-01,2026-12-31,9,False
ExportSellRate,EXPORT,1030,EXP-TERM,origin,POM,PGK,,,POM,MNL,,50.00,,,,False,,2025-01-01,2026-12-31,9,False
ExportSellRate,EXPORT,1030,EXP-TERM,origin,POM,PGK,,,POM,NAN,,50.00,,,,False,,2025-01-01,2026-12-31,9,False
ExportSellRate,EXPORT,1030,EXP-TERM,origin,POM,PGK,,,POM,SIN,,50.00,,,,False,,2025-01-01,2026-12-31,9,False
ExportSellRate,EXPORT,1030,EXP-TERM,origin,POM,PGK,,,POM,SYD,,50.00,,,,False,,2025-01-01,2025-12-31,9,False
ExportSellRate,EXPORT,1030,EXP-TERM,origin,POM,PGK,,,POM,VLI,,50.00,,,,False,,2025-01-01,2026-12-31,9,False
ExportSellRate,EXPORT,1030,EXP-TERM,origin,POM,USD,,,POM,HIR,,15.00,,,,False,,2025-01-02,2025-12-31,6,False
ExportSellRate,EXPORT,1030,EXP-TERM,origin,POM,USD,,,POM,HIR,,15.00,,,,False,,2026-01-02,2026-12-31,6,False
ExportSellRate,EXPORT,1030,EXP-TERM,origin,POM,USD,,,POM,HKG,,15.00,,,,False,,2025-01-02,2025-12-31,6,False
ExportSellRate,EXPORT,1030,EXP-TERM,origin,POM,USD,,,POM,HKG,,15.00,,,,False,,2026-01-02,2026-12-31,6,False
ExportSellRate,EXPORT,1030,EXP-TERM,origin,POM,USD,,,POM,MNL,,15.00,,,,False,,2025-01-02,2025-12-31,6,False
ExportSellRate,EXPORT,1030,EXP-TERM,origin,POM,USD,,,POM,MNL,,15.00,,,,False,,2026-01-02,2026-12-31,6,False
ExportSellRate,EXPORT,1030,EXP-TERM,origin,POM,USD,,,POM,NAN,,15.00,,,,False,,2025-01-02,2025-12-31,6,False
ExportSellRate,EXPORT,1030,EXP-TERM,origin,POM,USD,,,POM,NAN,,15.00,,,,False,,2026-01-02,2026-12-31,6,False
ExportSellRate,EXPORT,1030,EXP-TERM,origin,POM,USD,,,POM,SIN,,15.00,,,,False,,2025-01-02,2025-12-31,6,False
ExportSellRate,EXPORT,1030,EXP-TERM,origin,POM,USD,,,POM,SIN,,15.00,,,,False,,2026-01-02,2026-12-31,6,False
ExportSellRate,EXPORT,1030,EXP-TERM,origin,POM,USD,,,POM,VLI,,15.00,,,,False,,2025-01-02,2025-12-31,6,False
ExportSellRate,EXPORT,1030,EXP-TERM,origin,POM,USD,,,POM,VLI,,15.00,,,,False,,2026-01-02,2026-12-31,6,False
ExportSellRate,EXPORT,1031,EXP-BUILDUP,origin,POM,AUD,,,POM,BNE,0.0500,,50.00,,,False,,2025-01-02,2025-12-31,3,True
ExportSellRate,EXPORT,1031,EXP-BUILDUP,origin,POM,AUD,,,POM,BNE,0.1000,,19.00,,,False,,2026-01-02,2026-12-31,3,True
ExportSellRate,EXPORT,1031,EXP-BUILDUP,origin,POM,AUD,,,POM,CNS,0.0500,,50.00,,,False,,2025-01-02,2025-12-31,3,True
ExportSellRate,EXPORT,1031,EXP-BUILDUP,origin,POM,AUD,,,POM,CNS,0.1000,,19.00,,,False,,2026-01-02,2026-12-31,3,True
ExportSellRate,EXPORT,1031,EXP-BUILDUP,origin,POM,AUD,,,POM,SYD,0.0500,,50.00,,,False,,2025-01-02,2025-12-31,3,True
ExportSellRate,EXPORT,1031,EXP-BUILDUP,origin,POM,AUD,,,POM,SYD,0.1000,,19.00,,,False,,2026-01-02,2026-12-31,3,True
ExportSellRate,EXPORT,1031,EXP-BUILDUP,origin,POM,PGK,,,POM,BNE,0.2000,,50.00,,,False,,2025-01-01,2025-12-31,9,False
ExportSellRate,EXPORT,1031,EXP-BUILDUP,origin,POM,PGK,,,POM,CNS,0.2000,,50.00,,,False,,2025-01-01,2026-12-31,9,False
ExportSellRate,EXPORT,1031,EXP-BUILDUP,origin,POM,PGK,,,POM,HIR,0.2000,,50.00,,,False,,2025-01-01,2026-12-31,9,False
ExportSellRate,EXPORT,1031,EXP-BUILDUP,origin,POM,PGK,,,POM,HKG,0.2000,,50.00,,,False,,2025-01-01,2026-12-31,9,False
ExportSellRate,EXPORT,1031,EXP-BUILDUP,origin,POM,PGK,,,POM,MNL,0.2000,,50.00,,,False,,2025-01-01,2026-12-31,9,False
ExportSellRate,EXPORT,1031,EXP-BUILDUP,origin,POM,PGK,,,POM,NAN,0.2000,,50.00,,,False,,2025-01-01,2026-12-31,9,False
ExportSellRate,EXPORT,1031,EXP-BUILDUP,origin,POM,PGK,,,POM,SIN,0.2000,,50.00,,,False,,2025-01-01,2026-12-31,9,False
ExportSellRate,EXPORT,1031,EXP-BUILDUP,origin,POM,PGK,,,POM,SYD,0.2000,,50.00,,,False,,2025-01-01,2025-12-31,9,False
ExportSellRate,EXPORT,1031,EXP-BUILDUP,origin,POM,PGK,,,POM,VLI,0.2000,,50.00,,,False,,2025-01-01,2026-12-31,9,False
ExportSellRate,EXPORT,1031,EXP-BUILDUP,origin,POM,USD,,,POM,HIR,0.0500,,50.00,,,False,,2025-01-02,2025-12-31,6,False
ExportSellRate,EXPORT,1031,EXP-BUILDUP,origin,POM,USD,,,POM,HIR,0.0500,,50.00,,,False,,2026-01-02,2026-12-31,6,False
ExportSellRate,EXPORT,1031,EXP-BUILDUP,origin,POM,USD,,,POM,HKG,0.0500,,50.00,,,False,,2025-01-02,2025-12-31,6,False
ExportSellRate,EXPORT,1031,EXP-BUILDUP,origin,POM,USD,,,POM,HKG,0.0500,,50.00,,,False,,2026-01-02,2026-12-31,6,False
ExportSellRate,EXPORT,1031,EXP-BUILDUP,origin,POM,USD,,,POM,MNL,0.0500,,50.00,,,False,,2025-01-02,2025-12-31,6,False
ExportSellRate,EXPORT,1031,EXP-BUILDUP,origin,POM,USD,,,POM,MNL,0.0500,,50.00,,,False,,2026-01-02,2026-12-31,6,False
ExportSellRate,EXPORT,1031,EXP-BUILDUP,origin,POM,USD,,,POM,NAN,0.0500,,50.00,,,False,,2025-01-02,2025-12-31,6,False
ExportSellRate,EXPORT,1031,EXP-BUILDUP,origin,POM,USD,,,POM,NAN,0.0500,,50.00,,,False,,2026-01-02,2026-12-31,6,False
ExportSellRate,EXPORT,1031,EXP-BUILDUP,origin,POM,USD,,,POM,SIN,0.0500,,50.00,,,False,,2025-01-02,2025-12-31,6,False
ExportSellRate,EXPORT,1031,EXP-BUILDUP,origin,POM,USD,,,POM,SIN,0.0500,,50.00,,,False,,2026-01-02,2026-12-31,6,False
ExportSellRate,EXPORT,1031,EXP-BUILDUP,origin,POM,USD,,,POM,VLI,0.0500,,50.00,,,False,,2025-01-02,2025-12-31,6,False
ExportSellRate,EXPORT,1031,EXP-BUILDUP,origin,POM,USD,,,POM,VLI,0.0500,,50.00,,,False,,2026-01-02,2026-12-31,6,False
ExportSellRate,EXPORT,1032,EXP-HANDLE,origin,POM,AUD,,,POM,BNE,,60.00,,,,False,,2026-01-02,2026-12-31,3,False
ExportSellRate,EXPORT,1032,EXP-HANDLE,origin,POM,AUD,,,POM,CNS,,60.00,,,,False,,2026-01-02,2026-12-31,3,False
ExportSellRate,EXPORT,1032,EXP-HANDLE,origin,POM,AUD,,,POM,SYD,,60.00,,,,False,,2026-01-02,2026-12-31,3,False
ExportSellRate,EXPORT,1032,EXP-HANDLE,origin,POM,USD,,,POM,HIR,,15.00,,,,False,,2026-01-02,2026-12-31,6,False
ExportSellRate,EXPORT,1032,EXP-HANDLE,origin,POM,USD,,,POM,HKG,,15.00,,,,False,,2026-01-02,2026-12-31,6,False
ExportSellRate,EXPORT,1032,EXP-HANDLE,origin,POM,USD,,,POM,MNL,,15.00,,,,False,,2026-01-02,2026-12-31,6,False
ExportSellRate,EXPORT,1032,EXP-HANDLE,origin,POM,USD,,,POM,NAN,,15.00,,,,False,,2026-01-02,2026-12-31,6,False
ExportSellRate,EXPORT,1032,EXP-HANDLE,origin,POM,USD,,,POM,SIN,,15.00,,,,False,,2026-01-02,2026-12-31,6,False
ExportSellRate,EXPORT,1032,EXP-HANDLE,origin,POM,USD,,,POM,VLI,,15.00,,,,False,,2026-01-02,2026-12-31,6,False
ExportSellRate,EXPORT,1040,EXP-SCREEN,origin,POM,AUD,,,POM,BNE,0.0500,12.00,,,,True,,2025-01-02,2025-12-31,3,True
ExportSellRate,EXPORT,1040,EXP-SCREEN,origin,POM,AUD,,,POM,BNE,0.1000,19.00,,,,True,,2026-01-02,2026-12-31,3,True
ExportSellRate,EXPORT,1040,EXP-SCREEN,origin,POM,AUD,,,POM,CNS,0.0500,12.00,,,,True,,2025-01-02,2025-12-31,3,True
ExportSellRate,EXPORT,1040,EXP-SCREEN,origin,POM,AUD,,,POM,CNS,0.1000,19.00,,,,True,,2026-01-02,2026-12-31,3,True
ExportSellRate,EXPORT,1040,EXP-SCREEN,origin,POM,AUD,,,POM,SYD,0.0500,12.00,,,,True,,2025-01-02,2025-12-31,3,True
ExportSellRate,EXPORT,1040,EXP-SCREEN,origin,POM,AUD,,,POM,SYD,0.1000,19.00,,,,True,,2026-01-02,2026-12-31,3,True
ExportSellRate,EXPORT,1040,EXP-SCREEN,origin,POM,PGK,,,POM,BNE,0.2000,45.00,,,,True,,2025-01-01,2025-12-31,9,False
ExportSellRate,EXPORT,1040,EXP-SCREEN,origin,POM,PGK,,,POM,CNS,0.2000,45.00,,,,True,,2025-01-01,2026-12-31,9,False
ExportSellRate,EXPORT,1040,EXP-SCREEN,origin,POM,PGK,,,POM,HIR,0.2000,45.00,,,,True,,2025-01-01,2026-12-31,9,False
ExportSellRate,EXPORT,1040,EXP-SCREEN,origin,POM,PGK,,,POM,HKG,0.2000,45.00,,,,True,,2025-01-01,2026-12-31,9,False
ExportSellRate,EXPORT,1040,EXP-SCREEN,origin,POM,PGK,,,POM,MNL,0.2000,45.00,,,,True,,2025-01-01,2026-12-31,9,False
ExportSellRate,EXPORT,1040,EXP-SCREEN,origin,POM,PGK,,,POM,NAN,0.2000,45.00,,,,True,,2025-01-01,2026-12-31,9,False
ExportSellRate,EXPORT,1040,EXP-SCREEN,origin,POM,PGK,,,POM,SIN,0.2000,45.00,,,,True,,2025-01-01,2026-12-31,9,False
ExportSellRate,EXPORT,1040,EXP-SCREEN,origin,POM,PGK,,,POM,SYD,0.2000,45.00,,,,True,,2025-01-01,2025-12-31,9,False
ExportSellRate,EXPORT,1040,EXP-SCREEN,origin,POM,PGK,,,POM,VLI,0.2000,45.00,,,,True,,2025-01-01,2026-12-31,9,False
